Location,Unique_Id,row,col,Genotype,PlHa,PHI,YdHa,YdPl,SW,PSN,SWP,HI,VPP,StWP,PlHa_cat
INV-M3-1,20GH2CA679,2,23,GCDT_225,4.0,60.95679012,329.1666667,1.975,0.25483871,1.631578947,0.41578947368421054,20.27720739,13.0,26.0,1.0
INV-M3-1,20GH2CA548,4,20,GCDT_168,5.0,42.65809218,331.6666667,1.592,0.194146341,1.242424242,0.2412121212121212,14.67010689,64.0,35.6,2.0
INV-M3-1,20GH2CA608,5,21,GCDT_058,5.0,82.60869565,356.25,1.71,0.155454545,2.894736842,0.45,61.91165822,2.0,3.46,2.0
INV-M3-1,20GH2CA476,1,17,GCDT_222,4.0,54.23623995,365.4166667,2.1925,0.3508,1.923076923,0.6746153846153846,9.608852854,94.0,75.1,1.0
INV-M3-1,20GH2CA787,30,27,GCDT_201,4.0,57.59128764,374.5833333,2.2475,0.112375,2.222222222,0.24972222222222223,36.27925747,34.0,9.17,1.0
INV-M3-1,20GH2CA423,15,16,GCDT_302,6.0,50.110011,379.5833333,1.518333333,0.107176471,1.888888889,0.20244444444444443,21.44538606,19.0,24.3,2.0
INV-M3-1,20GH2CA657,24,23,GCDT_068,5.0,71.34004648,383.75,1.842,0.133478261,3.0,0.4004347826086957,27.90063617,14.0,20.1,2.0
INV-M3-1,20GH2CA622,10,22,GCDT_082,5.0,69.90572879,401.6666667,1.928,0.189019608,1.59375,0.30125,31.43136616,16.0,16.88,2.0
INV-M3-1,20GH2CA722,27,25,GCDT_106,5.0,80.06562756,406.6666667,1.952,0.244,3.076923077,0.7507692307692307,23.73540856,3.0,28.93,2.0
INV-M3-1,20GH2CA809,8,27,GCDT_295,5.0,68.78083157,406.6666667,1.952,0.157419355,2.48,0.39039999999999997,38.79173291,2.0,10.97,2.0
INV-M3-1,20GH2CA537,8,19,GCDT_061,5.0,72.35123367,415.4166667,1.994,0.195490196,1.888888889,0.3692592592592593,42.67979452,,9.58,2.0
INV-M3-1,20GH2CA720,29,25,GCDT_232,3.0,78.23076923,423.75,3.39,0.156461538,4.333333333,0.678,26.20458645,2.0,25.81,1.0
INV-M3-1,20GH2CA502,26,18,GCDT_060,5.0,75.0,425.0,2.04,0.132467532,2.851851852,0.37777777777777777,50.64548163,3.0,6.54,2.0
INV-M3-1,20GH2CA741,8,25,GCDT_270,4.0,78.32957111,433.75,2.6025,0.273947368,2.923076923,0.8007692307692308,34.39048563,,16.98,1.0
INV-M3-1,20GH2CA424,16,16,GCDT_179,5.0,67.26804124,435.0,2.088,0.282162162,1.541666667,0.435,18.94049347,5.0,39.6,2.0
INV-M3-1,20GH2CA667,14,23,GCDT_072,5.0,68.00258565,438.3333333,2.104,0.223829787,2.611111111,0.5844444444444444,27.94156707,22.0,22.18,2.0
INV-M3-1,20GH2CA756,8,26,GCDT_119,5.0,66.52669466,462.0833333,2.218,0.184833333,2.068965517,0.38241379310344825,14.05042443,21.0,62.26,2.0
INV-M3-1,20GH2CA813,4,27,GCDT_243,5.0,78.79858657,464.5833333,2.23,0.206481481,2.7,0.5575,64.787914,2.0,3.06,2.0
INV-M3-1,20GH2CA535,10,19,GCDT_012,4.0,72.97297297,472.5,2.835,0.257727273,2.095238095,0.54,48.11200679,1.0,8.03,1.0
INV-M3-1,20GH2CA425,17,16,GCDT_170,5.0,60.80937167,475.8333333,2.284,0.219615385,1.677419355,0.36838709677419357,32.64722699,32.0,16.2,2.0
INV-M3-1,20GH2CA773,25,26,GCDT_164,4.0,76.38888889,481.25,2.8875,0.320833333,2.117647059,0.6794117647058824,19.69645293,12.0,43.52,1.0
INV-M3-1,20GH2CA727,22,25,GCDT_209,5.0,57.10760118,482.0833333,2.314,0.17530303,1.783783784,0.31270270270270273,19.04526749,6.0,40.49,2.0
INV-M3-1,20GH2CA497,21,18,SEF_010,3.0,79.5640327,486.6666667,3.893333333,0.20137931,4.142857143,0.8342857142857143,58.10945274,2.0,5.42,1.0
INV-M3-1,20GH2CA631,19,22,GCDT_042,3.0,75.03201024,488.3333333,3.906666667,0.169855072,1.769230769,0.3005128205128205,38.83366468,6.0,14.56,1.0
INV-M3-1,20GH2CA728,21,25,GCDT_269,4.0,83.8028169,495.8333333,2.975,0.172463768,2.555555556,0.44074074074074077,71.30017975,,2.49,1.0
INV-M3-1,20GH2CA587,26,21,GCDT_107,3.0,74.84662577,508.3333333,4.066666667,0.32972973,2.466666667,0.8133333333333332,26.8722467,11.0,29.1,1.0
INV-M3-1,20GH2CA629,17,22,GCDT_236,3.0,74.93887531,510.8333333,4.086666667,0.14091954,2.351351351,0.33135135135135135,61.51530356,4.0,3.57,1.0
INV-M3-1,20GH2CA558,14,20,GCDT_113,3.0,78.56242119,519.1666667,4.153333333,0.244313725,3.0,0.7329411764705883,59.50334288,3.0,5.08,1.0
INV-M3-1,20GH2CA499,23,18,GCDT_062,5.0,80.17902813,522.5,2.508,0.149285714,3.36,0.5015999999999999,65.48302872,1.0,3.51,2.0
INV-M3-1,20GH2CA483,7,18,GCDT_234,5.0,72.09567198,527.5,2.532,0.200952381,1.536585366,0.30878048780487805,34.53355155,,19.1,2.0
INV-M3-1,20GH2CA413,5,16,GCDT_063,5.0,77.89344764,530.0,2.544,0.163076923,2.4375,0.3975,54.75678003,16.0,6.9,2.0
INV-M3-1,20GH2CA751,3,26,GCDT_100,5.0,80.96446701,531.6666667,2.552,0.212666667,2.222222222,0.47259259259259256,67.15789474,1.0,3.24,2.0
INV-M3-1,20GH2CA599,14,21,GCDT_198,5.0,60.94196004,533.75,2.562,0.312439024,2.733333333,0.854,24.62514418,26.0,31.0,2.0
INV-M3-1,20GH2CA449,28,17,GCDT_084,4.0,78.58450275,536.6666667,3.22,0.211147541,2.652173913,0.56,42.24335848,6.0,14.1,1.0
INV-M3-1,20GH2CA523,22,19,GCDT_080,3.0,64.30342092,540.4166667,4.323333333,0.270208333,2.285714286,0.6176190476190476,29.83666897,16.0,23.3,1.0
INV-M3-1,20GH2CA794,23,27,GCDT_097,4.0,75.37313433,547.0833333,3.2825,0.25745098,2.833333333,0.7294444444444445,15.70574163,16.0,66.18,1.0
