,HI_M3-Ambiente,PHI_M3-Ambiente,PSN_M3-Ambiente,SW_M3-Ambiente,SWP_M3-Ambiente,StWP_M3-Ambiente,VPP_M3-Ambiente,YdHa_M3-Ambiente,YdPl_M3-Ambiente,HI_INV-M3-1,PHI_INV-M3-1,PSN_INV-M3-1,SW_INV-M3-1,SWP_INV-M3-1,StWP_INV-M3-1,VPP_INV-M3-1,YdHa_INV-M3-1,YdPl_INV-M3-1,HI_INV-M3-2,PHI_INV-M3-2,PSN_INV-M3-2,SW_INV-M3-2,SWP_INV-M3-2,StWP_INV-M3-2,VPP_INV-M3-2,YdHa_INV-M3-2,YdPl_INV-M3-2,PHI_Caribia,YdHa_Caribia,YdPl_Caribia,PHI_Espinal,SW_Espinal,YdHa_Espinal,YdPl_Espinal
GCDT_176,57.086,73.691,2.975,0.232,0.728,6.342,NA,877.059,6.493,44.972,73.487,2.705,0.238,0.635,24.873,12.856,1181.97,6.422,48.705,71.451,2.71,0.235,0.618,17.276,6.784,982.105,6.726,63.328,126.17,2.281,76.217,0.252,1050.743,11.09
GCDT_177,57.014,73.82,2.983,0.238,0.701,9.554,NA,1071.404,6.931,52.587,72.181,2.688,0.234,0.621,17.638,13.047,1097.248,5.87,46.998,74.866,2.807,0.245,0.686,16.825,NA,951.153,6.841,64.671,118.703,2.133,75.426,0.273,1315.104,13.758
GCDT_178,59.645,73.787,2.91,0.254,0.742,6.92,3.562,1024.923,8.175,47.168,72.887,2.217,0.293,0.588,23.998,13.139,1338.687,7.346,59.193,78.366,2.922,0.28,0.781,10.839,5.546,916.508,6.767,NA,NA,NA,78.091,0.284,1090.637,11.861
GCDT_179,39.53,65.052,1.867,0.199,0.309,9.472,3.7,512.357,3.429,27.669,69.003,2.062,0.259,0.492,32.021,13.17,854.686,5.148,39.008,63.667,2.359,0.213,0.518,38.826,14.864,1403.611,9.236,NA,NA,NA,NA,NA,NA,NA
GCDT_180,52.954,71.661,2.771,0.247,0.698,16.365,3.493,1391.449,9.091,28.085,67.453,2.333,0.253,0.586,55.229,13.189,1177.423,6.336,48.63,70.663,2.805,0.246,0.661,23.936,NA,1242.942,8.23,58.817,127.827,2.321,71.596,NA,NA,NA
GCDT_181,58.948,74.881,3.091,0.183,0.549,8.223,NA,858.07,6.784,40.834,67.246,2.366,0.223,0.522,21.981,13.117,1002.292,6.02,32.711,60.92,2.466,0.164,0.485,13.972,16.172,454.071,4.456,NA,NA,NA,79.824,0.25,1386.144,14.919
GCDT_182,47.683,66.833,2.73,0.184,0.516,10.434,4.273,929.942,6.749,NA,NA,2.165,0.2,0.436,NA,13.471,818.122,4.766,NA,NA,NA,NA,NA,23.79,9.314,NA,NA,67.478,153.622,2.559,74.856,0.25,1105.21,12.273
GCDT_183,51.314,70.341,3.067,0.178,0.502,7.123,3.538,712.743,4.823,40.566,69.446,2.048,0.192,0.402,15.818,13.149,873.244,4.831,NA,NA,2.853,NA,NA,NA,8.973,NA,NA,NA,NA,NA,NA,NA,NA,NA
GCDT_184,60.917,74.921,4.218,0.215,0.942,11.275,3.636,1539.714,9.898,54.602,77.509,3.813,0.233,0.902,33.812,13.112,2514.673,12.078,NA,NA,NA,NA,NA,27.308,6.964,NA,NA,69.203,137.436,2.453,75.844,0.217,1220.899,13.574
GCDT_185,55.438,72.723,2.831,0.247,0.7,12.907,3.66,1322.691,10.166,45.818,72.699,2.689,0.271,0.724,24.628,13.391,1263.916,6.802,47.382,69.542,2.475,0.288,0.714,15.056,5.039,950.086,7.436,62.086,141.562,2.416,75.142,0.267,1206.385,12.668
GCDT_186,44.067,67.718,1.895,0.176,0.284,8.168,4.11,525.772,3.714,43.979,70.773,2.158,0.181,0.399,15.761,13.217,850.747,5.233,43.51,71.417,2.299,0.167,0.4,10.284,14.263,626.878,5.51,67.349,133.919,2.314,73.697,0.214,757.828,7.03
GCDT_187,62.349,75.194,3.339,0.242,0.827,6.786,NA,1155.006,8.682,58.764,78.524,3.819,0.23,0.897,20.245,NA,1570.85,8.427,62.337,81.995,3.779,0.256,0.988,18.616,10.525,1820.504,11.827,68.275,130.794,2.329,79.924,0.242,1268.812,13.761
GCDT_188,49.71,75.339,3.224,0.208,0.651,9.329,3.655,887.816,5.217,42.718,70.919,2.487,0.193,0.475,36.006,13.155,1459.615,7.612,50.113,70.435,2.519,0.202,0.51,22.29,9.448,1453.492,8.965,63.515,116.97,2.224,76.904,0.23,1352.621,13.773
GCDT_189,58.387,72.473,5.174,0.113,0.409,4.771,NA,737.872,5.434,54.894,71.934,3.127,0.156,0.491,16.17,13.151,829.113,4.745,50.228,72.501,3.256,0.169,0.538,10.439,6.88,662.234,4.735,NA,NA,NA,69.515,NA,NA,NA
GCDT_190,52.814,71.651,3.236,0.201,0.639,11.513,3.996,1016.697,8.005,46.049,68.278,2.63,0.205,0.538,30.487,13.305,1866.078,9.266,43.289,71.443,3.385,0.222,0.753,30.954,4.479,1084.002,7.456,64.721,112.918,2.254,76.259,0.25,942.905,9.797
GCDT_191,63.757,75.486,3.583,0.179,0.645,4.907,NA,1014.686,6.661,58.562,77.174,3.784,0.234,0.879,21.811,13.143,2039.681,10.86,61.279,78.9,3.861,0.222,0.856,20.333,5.214,2236.31,13.768,70.47,126.352,2.327,79.187,0.217,1414.952,14.772
GCDT_192,43.376,65.914,3.131,0.17,0.507,10.888,3.665,803.117,5.11,47.803,71.466,2.954,0.195,0.577,20.596,13.199,1002.712,5.503,44.134,68.899,2.593,0.215,0.563,15.678,6.756,755.358,5.459,68.383,140.58,2.48,76.316,0.245,1201.018,12.347
GCDT_193,56.366,71.989,2.968,0.235,0.73,11.739,3.156,1462.086,9.429,36.144,64.764,2.032,0.272,0.533,46.499,13.734,1842.321,9.082,37.615,59.75,2.133,0.217,0.47,42.461,7.801,1189.004,7.986,61.288,131.503,2.228,73.941,NA,NA,NA
GCDT_194,55.514,72.919,2.743,0.26,0.695,9.397,3.382,993.825,7.813,48.544,73.278,2.67,0.311,0.846,26.729,13.119,1633.063,8.18,42.474,69.2,2.579,0.292,0.713,23.785,4.739,1012.817,6.776,61.931,129.354,2.276,76.263,0.254,1235.029,14.309
GCDT_195,57.348,73.502,2.896,0.227,0.655,10.115,3.513,1139.626,7.371,35.004,65.146,2.319,0.271,0.623,36.415,13.193,1177.169,6.35,41.868,69.07,3.018,0.254,0.739,25.04,8.4,1062.062,7.556,NA,NA,NA,NA,NA,NA,NA
