Variants segregating between each pair of groups
Group	Acutifolius	Vulgaris
Acutifolius	0	9094
Vulgaris	9094	0

Variants with not enough individuals genotyped or with high MAF within each group
Group	Acutifolius	Vulgaris
Not genotyped	0	0
Heterozygous	0	0

Regions assigned to each group for each sample
Sample	Sample group	Acutifolius	Vulgaris	Non genotyped	Unassigned	More than one group
GCDT_283	Vulgaris	0	177	0	0	0
GCDT_284	Vulgaris	0	82	94	1	0
GCDT_285	Vulgaris	0	174	2	1	0
GCDT_286	Vulgaris	0	175	1	1	0
GCDT_287	Vulgaris	1	162	8	6	0
GCDT_288	Vulgaris	2	163	1	11	0
GCDT_289	Vulgaris	1	164	2	10	0
GCDT_290	Vulgaris	8	163	0	6	0
GCDT_291	Vulgaris	3	171	0	3	0
GCDT_292	Vulgaris	3	170	0	4	0
GCDT_293	Vulgaris	3	171	0	3	0
GCDT_294	Vulgaris	3	170	0	4	0
GCDT_295	Vulgaris	0	54	123	0	0
GCDT_296	Vulgaris	1	176	0	0	0
GCDT_297	Vulgaris	0	176	0	1	0
GCDT_298	Vulgaris	8	163	3	3	0
GCDT_299	Vulgaris	1	107	69	0	0
GCDT_300	Vulgaris	9	166	0	2	0
GCDT_301	Vulgaris	4	170	1	2	0
ICTA_LIGERO	Vulgaris	0	175	0	2	0
SEF_010	Vulgaris	0	177	0	0	0
SEN_118	Vulgaris	0	176	1	0	0
SMC_214	Vulgaris	0	173	1	3	0
VAP_001	Vulgaris	0	176	1	0	0
SMR_155	Vulgaris	0	177	0	0	0
